"FIPS","Metropolitan Area","Industry Code","Industry","Component Code","Component","2006"
"30300","Lewiston, ID-WA (MSA)",1,"All industry total",900,Real GDP by Metropolitan Area (millions of chained 2001 dollars) ,1452
"30340","Lewiston-Auburn, ME (MSA)",1,"All industry total",900,Real GDP by Metropolitan Area (millions of chained 2001 dollars) ,2967
"30460","Lexington-Fayette, KY (MSA)",1,"All industry total",900,Real GDP by Metropolitan Area (millions of chained 2001 dollars) ,19564
"30620","Lima, OH (MSA)",1,"All industry total",900,Real GDP by Metropolitan Area (millions of chained 2001 dollars) ,3702
"30700","Lincoln, NE (MSA)",1,"All industry total",900,Real GDP by Metropolitan Area (millions of chained 2001 dollars) ,11031
"30780","Little Rock-North Little Rock-Conway, AR (MSA)",1,"All industry total",900,Real GDP by Metropolitan Area (millions of chained 2001 dollars) ,25019
"30860","Logan, UT-ID (MSA)",1,"All industry total",900,Real GDP by Metropolitan Area (millions of chained 2001 dollars) ,2395
"30980","Longview, TX (MSA)",1,"All industry total",900,Real GDP by Metropolitan Area (millions of chained 2001 dollars) ,6607
"31020","Longview, WA (MSA)",1,"All industry total",900,Real GDP by Metropolitan Area (millions of chained 2001 dollars) ,2406
"31100","Los Angeles-Long Beach-Santa Ana, CA (MSA)",1,"All industry total",900,Real GDP by Metropolitan Area (millions of chained 2001 dollars) ,600623
"31140","Louisville-Jefferson County, KY-IN (MSA)",1,"All industry total",900,Real GDP by Metropolitan Area (millions of chained 2001 dollars) ,47121
"31180","Lubbock, TX (MSA)",1,"All industry total",900,Real GDP by Metropolitan Area (millions of chained 2001 dollars) ,7591
"31340","Lynchburg, VA (MSA)",1,"All industry total",900,Real GDP by Metropolitan Area (millions of chained 2001 dollars) ,6971
"31420","Macon, GA (MSA)",1,"All industry total",900,Real GDP by Metropolitan Area (millions of chained 2001 dollars) ,6429
"31460","Madera-Chowchilla, CA (MSA)",1,"All industry total",900,Real GDP by Metropolitan Area (millions of chained 2001 dollars) ,2805
"31540","Madison, WI (MSA)",1,"All industry total",900,Real GDP by Metropolitan Area (millions of chained 2001 dollars) ,26770
"31700","Manchester-Nashua, NH (MSA)",1,"All industry total",900,Real GDP by Metropolitan Area (millions of chained 2001 dollars) ,17590
"31740","Manhattan, KS (MSA)",1,"All industry total",900,Real GDP by Metropolitan Area (millions of chained 2001 dollars) ,3328
"31860","Mankato-North Mankato, MN (MSA)",1,"All industry total",900,Real GDP by Metropolitan Area (millions of chained 2001 dollars) ,3265
"31900","Mansfield, OH (MSA)",1,"All industry total",900,Real GDP by Metropolitan Area (millions of chained 2001 dollars) ,3658
"32580","McAllen-Edinburg-Mission, TX (MSA)",1,"All industry total",900,Real GDP by Metropolitan Area (millions of chained 2001 dollars) ,10234
"32780","Medford, OR (MSA)",1,"All industry total",900,Real GDP by Metropolitan Area (millions of chained 2001 dollars) ,5270
"32820","Memphis, TN-MS-AR (MSA)",1,"All industry total",900,Real GDP by Metropolitan Area (millions of chained 2001 dollars) ,52964
"32900","Merced, CA (MSA)",1,"All industry total",900,Real GDP by Metropolitan Area (millions of chained 2001 dollars) ,4755
"33100","Miami-Fort Lauderdale-Pompano Beach, FL (MSA)",1,"All industry total",900,Real GDP by Metropolitan Area (millions of chained 2001 dollars) ,221001
